Designator,Mid X,Mid Y,Rotation,Layer
D1_8,2.4,-3.25,60.0,top
D1_7,2.4,-23.75,60.0,top
D1_6,14.2,-3.25,60.0,top
D1_5,26.0,-3.25,60.0,top
D1_4,37.8,-23.75,60.0,top
D1_3,37.8,-3.25,60.0,top
D1_2,14.2,-23.75,60.0,top
D1,26.0,-23.75,60.0,top
D10_8,15.45,-7.25,60.0,top
D10_7,39.05,-27.75,60.0,top
D10_6,3.65,-27.75,60.0,top
D10_5,3.65,-7.25,60.0,top
D10_4,27.25,-7.25,60.0,top
D10_3,27.25,-27.75,60.0,top
D10_2,15.45,-27.75,60.0,top
D10,39.05,-7.25,60.0,top
D11_8,27.25,-9.25,60.0,top
D11_7,3.65,-29.75,60.0,top
D11_6,27.25,-29.75,60.0,top
D11_5,15.45,-29.75,60.0,top
D11_4,15.45,-9.25,60.0,top
D11_3,39.05,-9.25,60.0,top
D11_2,39.05,-29.75,60.0,top
D11,3.65,-9.25,60.0,top
D12_8,27.25,-11.25,60.0,top
D12_7,39.05,-11.25,60.0,top
D12_6,15.45,-11.25,60.0,top
D12_5,3.65,-31.75,60.0,top
D12_4,39.05,-31.75,60.0,top
D12_3,3.65,-11.25,60.0,top
D12_2,27.25,-31.75,60.0,top
D12,15.45,-31.75,60.0,top
D13_8,15.45,-13.25,60.0,top
D13_7,39.05,-33.75,60.0,top
D13_6,39.05,-13.25,60.0,top
D13_5,3.65,-33.75,60.0,top
D13_4,15.45,-33.75,60.0,top
D13_3,27.25,-33.75,60.0,top
D13_2,27.25,-13.25,60.0,top
D13,3.65,-13.25,60.0,top
D14_8,39.05,-35.75,60.0,top
D14_7,39.05,-15.25,60.0,top
D14_6,27.25,-15.25,60.0,top
D14_5,15.45,-15.25,60.0,top
D14_4,3.65,-35.75,60.0,top
D14_3,3.65,-15.25,60.0,top
D14_2,15.45,-35.75,60.0,top
D14,27.25,-35.75,60.0,top
D15_8,4.9,-3.25,60.0,top
D15_7,40.3,-23.75,60.0,top
D15_6,4.9,-23.75,60.0,top
D15_5,40.3,-3.25,60.0,top
D15_4,28.5,-23.75,60.0,top
D15_3,16.7,-23.75,60.0,top
D15_2,28.5,-3.25,60.0,top
D15,16.7,-3.25,60.0,top
D16_8,16.7,-5.25,60.0,top
D16_7,28.5,-5.25,60.0,top
D16_6,40.3,-25.75,60.0,top
D16_5,16.7,-25.75,60.0,top
D16_4,40.3,-5.25,60.0,top
D16_3,4.9,-25.75,60.0,top
D16_2,4.9,-5.25,60.0,top
D16,28.5,-25.75,60.0,top
D17_8,16.7,-27.75,60.0,top
D17_7,4.9,-27.75,60.0,top
D17_6,4.9,-7.25,60.0,top
D17_5,28.5,-27.75,60.0,top
D17_4,28.5,-7.25,60.0,top
D17_3,40.3,-7.25,60.0,top
D17_2,40.3,-27.75,60.0,top
D17,16.7,-7.25,60.0,top
D18_8,28.5,-9.25,60.0,top
D18_7,16.7,-9.25,60.0,top
D18_6,28.5,-29.75,60.0,top
D18_5,40.3,-9.25,60.0,top
D18_4,4.9,-9.25,60.0,top
D18_3,40.3,-29.75,60.0,top
D18_2,4.9,-29.75,60.0,top
D18,16.7,-29.75,60.0,top
D19_8,40.3,-11.25,60.0,top
D19_7,28.5,-11.25,60.0,top
D19_6,28.5,-31.75,60.0,top
D19_5,16.7,-11.25,60.0,top
D19_4,4.9,-31.75,60.0,top
D19_3,4.9,-11.25,60.0,top
D19_2,40.3,-31.75,60.0,top
D19,16.7,-31.75,60.0,top
D2_8,26.0,-25.75,60.0,top
D2_7,2.4,-25.75,60.0,top
D2_6,37.8,-25.75,60.0,top
D2_5,37.8,-5.25,60.0,top
D2_4,14.2,-5.25,60.0,top
D2_3,14.2,-25.75,60.0,top
D2_2,26.0,-5.25,60.0,top
D2,2.4,-5.25,60.0,top
D20_8,28.5,-13.25,60.0,top
D20_7,40.3,-13.25,60.0,top
D20_6,16.7,-33.75,60.0,top
D20_5,4.9,-33.75,60.0,top
D20_4,28.5,-33.75,60.0,top
D20_3,4.9,-13.25,60.0,top
D20_2,40.3,-33.75,60.0,top
D20,16.7,-13.25,60.0,top
D21_8,16.7,-15.25,60.0,top
D21_7,40.3,-15.25,60.0,top
D21_6,40.3,-35.75,60.0,top
D21_5,28.5,-15.25,60.0,top
D21_4,4.9,-35.75,60.0,top
D21_3,28.5,-35.75,60.0,top
D21_2,4.9,-15.25,60.0,top
D21,16.7,-35.75,60.0,top
D22_8,17.95,-23.75,60.0,top
D22_7,17.95,-3.25,60.0,top
D22_6,6.15,-23.75,60.0,top
D22_5,41.55,-3.25,60.0,top
D22_4,29.75,-23.75,60.0,top
D22_3,29.75,-3.25,60.0,top
D22_2,6.15,-3.25,60.0,top
D22,41.55,-23.75,60.0,top
D23_8,6.15,-25.75,60.0,top
D23_7,41.55,-5.25,60.0,top
D23_6,6.15,-5.25,60.0,top
D23_5,29.75,-25.75,60.0,top
D23_4,29.75,-5.25,60.0,top
D23_3,17.95,-25.75,60.0,top
