Designator,Mid X,Mid Y,Rotation,Layer
D1_8,42.8,-7.342298,60.0,top
D1_7,31.0,-27.842298,60.0,top
D1_6,31.0,-7.342298,60.0,top
D1_5,7.4,-7.342298,60.0,top
D1_4,7.4,-27.842298,60.0,top
D1_3,42.8,-27.842298,60.0,top
D1_2,19.2,-7.342298,60.0,top
D1,19.2,-27.842298,60.0,top
D10_8,32.25,-31.842298,60.0,top
D10_7,8.65,-31.842298,60.0,top
D10_6,8.65,-11.342298,60.0,top
D10_5,44.05,-31.842298,60.0,top
D10_4,20.45,-31.842298,60.0,top
D10_3,20.45,-11.342298,60.0,top
D10_2,32.25,-11.342298,60.0,top
D10,44.05,-11.342298,60.0,top
D11_8,32.25,-33.842298,60.0,top
D11_7,44.05,-33.842298,60.0,top
D11_6,20.45,-13.342298,60.0,top
D11_5,8.65,-13.342298,60.0,top
D11_4,32.25,-13.342298,60.0,top
D11_3,44.05,-13.342298,60.0,top
D11_2,20.45,-33.842298,60.0,top
D11,8.65,-33.842298,60.0,top
D12_8,32.25,-35.842298,60.0,top
D12_7,20.45,-15.342298,60.0,top
D12_6,8.65,-15.342298,60.0,top
D12_5,32.25,-15.342298,60.0,top
D12_4,20.45,-35.842298,60.0,top
D12_3,8.65,-35.842298,60.0,top
D12_2,44.05,-35.842298,60.0,top
D12,44.05,-15.342298,60.0,top
D13_8,32.25,-17.342298,60.0,top
D13_7,20.45,-37.842298,60.0,top
D13_6,20.45,-17.342298,60.0,top
D13_5,8.65,-37.842298,60.0,top
D13_4,44.05,-17.342298,60.0,top
D13_3,8.65,-17.342298,60.0,top
D13_2,44.05,-37.842298,60.0,top
D13,32.25,-37.842298,60.0,top
D14_8,44.05,-39.842298,60.0,top
D14_7,32.25,-19.342298,60.0,top
D14_6,20.45,-39.842298,60.0,top
D14_5,44.05,-19.342298,60.0,top
D14_4,32.25,-39.842298,60.0,top
D14_3,8.65,-39.842298,60.0,top
D14_2,20.45,-19.342298,60.0,top
D14,8.65,-19.342298,60.0,top
D15_8,21.7,-7.342298,60.0,top
D15_7,21.7,-27.842298,60.0,top
D15_6,33.5,-27.842298,60.0,top
D15_5,45.3,-7.342298,60.0,top
D15_4,33.5,-7.342298,60.0,top
D15_3,9.9,-27.842298,60.0,top
D15_2,9.9,-7.342298,60.0,top
D15,45.3,-27.842298,60.0,top
D16_8,21.7,-9.342298,60.0,top
D16_7,33.5,-9.342298,60.0,top
D16_6,21.7,-29.842298,60.0,top
D16_5,45.3,-29.842298,60.0,top
D16_4,45.3,-9.342298,60.0,top
D16_3,9.9,-29.842298,60.0,top
D16_2,33.5,-29.842298,60.0,top
D16,9.9,-9.342298,60.0,top
D17_8,21.7,-11.342298,60.0,top
D17_7,9.9,-31.842298,60.0,top
D17_6,33.5,-11.342298,60.0,top
D17_5,21.7,-31.842298,60.0,top
D17_4,45.3,-11.342298,60.0,top
D17_3,33.5,-31.842298,60.0,top
D17_2,45.3,-31.842298,60.0,top
D17,9.9,-11.342298,60.0,top
D18_8,33.5,-13.342298,60.0,top
D18_7,33.5,-33.842298,60.0,top
D18_6,21.7,-13.342298,60.0,top
D18_5,9.9,-13.342298,60.0,top
D18_4,45.3,-13.342298,60.0,top
D18_3,21.7,-33.842298,60.0,top
D18_2,9.9,-33.842298,60.0,top
D18,45.3,-33.842298,60.0,top
D19_8,21.7,-15.342298,60.0,top
D19_7,33.5,-15.342298,60.0,top
D19_6,45.3,-15.342298,60.0,top
D19_5,9.9,-35.842298,60.0,top
D19_4,33.5,-35.842298,60.0,top
D19_3,45.3,-35.842298,60.0,top
D19_2,21.7,-35.842298,60.0,top
D19,9.9,-15.342298,60.0,top
D2_8,7.4,-29.842298,60.0,top
D2_7,42.8,-9.342298,60.0,top
D2_6,42.8,-29.842298,60.0,top
D2_5,31.0,-9.342298,60.0,top
D2_4,19.2,-9.342298,60.0,top
D2_3,19.2,-29.842298,60.0,top
D2_2,7.4,-9.342298,60.0,top
D2,31.0,-29.842298,60.0,top
D20_8,21.7,-37.842298,60.0,top
D20_7,33.5,-17.342298,60.0,top
D20_6,21.7,-17.342298,60.0,top
D20_5,9.9,-17.342298,60.0,top
D20_4,9.9,-37.842298,60.0,top
D20_3,45.3,-17.342298,60.0,top
D20_2,45.3,-37.842298,60.0,top
D20,33.5,-37.842298,60.0,top
D21_8,21.7,-19.342298,60.0,top
D21_7,33.5,-19.342298,60.0,top
D21_6,9.9,-19.342298,60.0,top
D21_5,45.3,-39.842298,60.0,top
D21_4,33.5,-39.842298,60.0,top
D21_3,45.3,-19.342298,60.0,top
D21_2,21.7,-39.842298,60.0,top
D21,9.9,-39.842298,60.0,top
D22_8,22.95,-7.342298,60.0,top
D22_7,22.95,-27.842298,60.0,top
D22_6,11.15,-7.342298,60.0,top
D22_5,46.55,-27.842298,60.0,top
D22_4,34.75,-27.842298,60.0,top
D22_3,11.15,-27.842298,60.0,top
D22_2,34.75,-7.342298,60.0,top
D22,46.55,-7.342298,60.0,top
D23_8,11.15,-9.342298,60.0,top
D23_7,46.55,-9.342298,60.0,top
D23_6,11.15,-29.842298,60.0,top
D23_5,46.55,-29.842298,60.0,top
D23_4,22.95,-29.842298,60.0,top
D23_3,34.75,-29.842298,60.0,top
D23_2,22.95,-9.342298,60.0,top
D23,34.75,-9.342298,60.0,top
D24_8,11.15,-31.842298,60.0,top
D24_7,22.95,-31.842298,60.0,top
D24_6,11.15,-11.342298,60.0,top
D24_5,46.55,-11.342298,60.0,top
D24_4,46.55,-31.842298,60.0,top
D24_3,34.75,-11.342298,60.0,top
D24_2,34.75,-31.842298,60.0,top
D24,22.95,-11.342298,60.0,top
D25_8,34.75,-33.842298,60.0,top
D25_7,46.55,-33.842298,60.0,top
D25_6,11.15,-13.342298,60.0,top
D25_5,22.95,-13.342298,60.0,top
D25_4,46.55,-13.342298,60.0,top
D25_3,11.15,-33.842298,60.0,top
D25_2,22.95,-33.842298,60.0,top
D25,34.75,-13.342298,60.0,top
D26_8,46.55,-15.342298,60.0,top
D26_7,22.95,-15.342298,60.0,top
D26_6,34.75,-15.342298,60.0,top
D26_5,11.15,-15.342298,60.0,top
D26_4,11.15,-35.842298,60.0,top
D26_3,34.75,-35.842298,60.0,top
D26_2,22.95,-35.842298,60.0,top
D26,46.55,-35.842298,60.0,top
D27_8,22.95,-17.342298,60.0,top
D27_7,34.75,-17.342298,60.0,top
D27_6,22.95,-37.842298,60.0,top
D27_5,46.55,-17.342298,60.0,top
D27_4,11.15,-37.842298,60.0,top
D27_3,34.75,-37.842298,60.0,top
D27_2,11.15,-17.342298,60.0,top
D27,46.55,-37.842298,60.0,top
D28_8,34.75,-39.842298,60.0,top
D28_7,11.15,-19.342298,60.0,top
D28_6,22.95,-39.842298,60.0,top
D28_5,11.15,-39.842298,60.0,top
D28_4,34.75,-19.342298,60.0,top
D28_3,22.95,-19.342298,60.0,top
D28_2,46.55,-39.842298,60.0,top
D28,46.55,-19.342298,60.0,top
D29_8,47.8,-7.342298,60.0,top
D29_7,24.2,-27.842298,60.0,top
D29_6,12.4,-7.342298,60.0,top
D29_5,12.4,-27.842298,60.0,top
D29_4,24.2,-7.342298,60.0,top
D29_3,36.0,-7.342298,60.0,top
D29_2,36.0,-27.842298,60.0,top
D29,47.8,-27.842298,60.0,top
D3_8,7.4,-11.342298,60.0,top
D3_7,42.8,-11.342298,60.0,top
D3_6,42.8,-31.842298,60.0,top
D3_5,31.0,-31.842298,60.0,top
D3_4,19.2,-31.842298,60.0,top
D3_3,19.2,-11.342298,60.0,top
D3_2,31.0,-11.342298,60.0,top
D3,7.4,-31.842298,60.0,top
D30_8,24.2,-9.342298,60.0,top
D30_7,36.0,-29.842298,60.0,top
D30_6,12.4,-29.842298,60.0,top
D30_5,12.4,-9.342298,60.0,top
D30_4,24.2,-29.842298,60.0,top
D30_3,47.8,-29.842298,60.0,top
D30_2,36.0,-9.342298,60.0,top
D30,47.8,-9.342298,60.0,top
D31_8,24.2,-11.342298,60.0,top
D31_7,47.8,-11.342298,60.0,top
D31_6,24.2,-31.842298,60.0,top
D31_5,36.0,-11.342298,60.0,top
D31_4,36.0,-31.842298,60.0,top
D31_3,12.4,-31.842298,60.0,top
D31_2,12.4,-11.342298,60.0,top
D31,47.8,-31.842298,60.0,top
D32_8,24.2,-13.342298,60.0,top
D32_7,12.4,-33.842298,60.0,top
D32_6,36.0,-13.342298,60.0,top
D32_5,47.8,-13.342298,60.0,top
D32_4,36.0,-33.842298,60.0,top
D32_3,12.4,-13.342298,60.0,top
D32_2,47.8,-33.842298,60.0,top
D32,24.2,-33.842298,60.0,top
D33_8,36.0,-15.342298,60.0,top
D33_7,36.0,-35.842298,60.0,top
D33_6,47.8,-35.842298,60.0,top
D33_5,24.2,-35.842298,60.0,top
D33_4,47.8,-15.342298,60.0,top
D33_3,24.2,-15.342298,60.0,top
D33_2,12.4,-15.342298,60.0,top
D33,12.4,-35.842298,60.0,top
D34_8,12.4,-37.842298,60.0,top
D34_7,24.2,-37.842298,60.0,top
D34_6,36.0,-37.842298,60.0,top
D34_5,47.8,-17.342298,60.0,top
D34_4,47.8,-37.842298,60.0,top
D34_3,12.4,-17.342298,60.0,top
D34_2,36.0,-17.342298,60.0,top
D34,24.2,-17.342298,60.0,top
D35_8,24.2,-39.842298,60.0,top
D35_7,12.4,-39.842298,60.0,top
D35_6,24.2,-19.342298,60.0,top
D35_5,47.8,-39.842298,60.0,top
D35_4,36.0,-19.342298,60.0,top
D35_3,36.0,-39.842298,60.0,top
D35_2,47.8,-19.342298,60.0,top
D35,12.4,-19.342298,60.0,top
D36_8,31.0,-41.842298,60.0,top
D36_7,31.0,-21.342298,60.0,top
D36_6,7.4,-41.842298,60.0,top
D36_5,42.8,-41.842298,60.0,top
D36_4,7.4,-21.342298,60.0,top
D36_3,42.8,-21.342298,60.0,top
D36_2,19.2,-21.342298,60.0,top
D36,19.2,-41.842298,60.0,top
D4_8,31.0,-33.842298,60.0,top
D4_7,42.8,-13.342298,60.0,top
