Designator,Mid X,Mid Y,Rotation,Layer
D1,22.4,-23.25,60.0,top
D10,23.65,-27.25,60.0,top
D11,23.65,-29.25,60.0,top
D12,23.65,-31.25,60.0,top
D13,23.65,-33.25,60.0,top
D14,23.65,-35.25,60.0,top
D15,24.9,-23.25,60.0,top
D16,24.9,-25.25,60.0,top
D17,24.9,-27.25,60.0,top
D18,24.9,-29.25,60.0,top
D19,24.9,-31.25,60.0,top
D2,22.4,-25.25,60.0,top
D20,24.9,-33.25,60.0,top
D21,24.9,-35.25,60.0,top
D22,26.15,-23.25,60.0,top
D23,26.15,-25.25,60.0,top
D24,26.15,-27.25,60.0,top
D25,26.15,-29.25,60.0,top
D26,26.15,-31.25,60.0,top
D27,26.15,-33.25,60.0,top
D28,26.15,-35.25,60.0,top
D29,27.4,-23.25,60.0,top
D3,22.4,-27.25,60.0,top
D30,27.4,-25.25,60.0,top
D31,27.4,-27.25,60.0,top
D32,27.4,-29.25,60.0,top
D33,27.4,-31.25,60.0,top
D34,27.4,-33.25,60.0,top
D35,27.4,-35.25,60.0,top
D36,22.4,-37.25,60.0,top
D4,22.4,-29.25,60.0,top
D5,22.4,-31.25,60.0,top
D6,22.4,-33.25,60.0,top
D7,22.4,-35.25,60.0,top
D8,23.65,-23.25,60.0,top
D9,23.65,-25.25,60.0,top
J1,21.05,-21.575,0.0,top
J2,28.72,-21.625,0.0,top
